decode,encode
1,[이름] [직급]
1,[이름] 
1,[이름] [직책]
1,[지역] [이름]
1,[회사] [이름]
1,[조직] [이름] [직급]
1,[이름] 검색
1,[이름] 은 누구?
1,[이름] 연락처
1,[이름] 찾아줘
1,[이름] 정보
1,[이름] [직급] 검색                   
1,[직급] [이름]
1,[직급] [이름]
1,[이름] [직책]
1,[지역] [이름]
1,[회사] [이름]
1,[조직] [이름] [직급]
2,[지역] [직책]
2,[지역] [직급]
2,[지역] [직급명칭]
3,[전화번호]
4,[직번]
5,[이름] 에게 전화걸어줘
6,[날짜] 연락한
6,[날짜] 전화한
7,[이름] 의 [근태]
7,[이름] [근태] 인가요?
7,[이름] 의 [근태] 인가요?
7,[이름] 은 [날짜] [근태] 하나요
7,[이름] 은 [날짜] [근태]?
8,[조직] [직급명칭]
9,[조직] [직책]
10,[이름] 의 [직책]
10,[이름] 의 [담당임원]
10,[이름] [직급] 의 [직책]
11,[이름] [교대근무조]
11,[이름] 의 [교대근무조]
12,[이름] 의 [사진]
13,[이름] 의 [집전화]
14,[이름] 의 [휴대전화]
15,[이름] [직번]
16,[조직] [직급]
17,[조직] [날짜] 에 근무조는 누구
18,[조직] 에 [날짜]에 근무하는
19,[교대근무조]
19,[조직] [교대근무조]는 누구
